Kindred Hospital Tarrant County - Arlington,Pic Line Insertion,36569,CPT,Unnamed: 4,Unnamed: 5,2909.0,Unnamed: 7,2909.0.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,True,2025-04-21 07:48:50.948926,2025-04-21 07:48:50.948933,hospital_name,is_active,created_at,updated_at
Kindred Hospital Tarrant County - Arlington,Ther Procedure-Group 45 Min,97150,CPT,,,65.64,,65.64,,,,True,2025-04-21 07:48:51.059995,2025-04-21 07:48:51.059996,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Ther Procedure-Group 60 Min,97150,CPT,,,65.64,,65.64,,,,True,2025-04-21 07:48:51.060120,2025-04-21 07:48:51.060121,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Sensory Stimulation 15 Min,97533,CPT,,,99.21,,99.21,,,,True,2025-04-21 07:48:51.060535,2025-04-21 07:48:51.060537,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Whirlpool,97022,CPT,,,208.27,,208.27,,,,True,2025-04-21 07:48:51.060647,2025-04-21 07:48:51.060648,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Contrast Bath 15 Min,97034,CPT,,,109.96,,109.96,,,,True,2025-04-21 07:48:51.060737,2025-04-21 07:48:51.060738,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Diathermy,97024,CPT,,,37.17,,37.17,,,,True,2025-04-21 07:48:51.065373,2025-04-21 07:48:51.065378,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Iontophoresis 15 Min,97033,CPT,,,171.93,,171.93,,,,True,2025-04-21 07:48:51.070630,2025-04-21 07:48:51.070632,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Traction,97012,CPT,,,149.84,,149.84,,,,True,2025-04-21 07:48:51.073768,2025-04-21 07:48:51.073770,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Ultraviolet,97028,CPT,,,79.0,,79.0,,,,True,2025-04-21 07:48:51.073916,2025-04-21 07:48:51.073917,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Test Physical Perform 15 Min,97750,CPT,,,171.04,,171.04,,,,True,2025-04-21 07:48:51.074009,2025-04-21 07:48:51.074010,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Lowfrequency Nonthermal Us/Day,97610,CPT,,,478.86,,478.86,,,,True,2025-04-21 07:48:51.074139,2025-04-21 07:48:51.074140,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Prosthetic Train 15 Min,97761,CPT,,,130.59,,130.59,,,,True,2025-04-21 07:48:51.074229,2025-04-21 07:48:51.074230,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Neuromuscular Re-Ed 15 Min,97112,CPT,,,93.54,,93.54,,,,True,2025-04-21 07:48:51.074316,2025-04-21 07:48:51.074317,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Rom Testing Extremity/Trunk,95851,CPT,,,138.24,,138.24,,,,True,2025-04-21 07:48:51.074401,2025-04-21 07:48:51.074402,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Rom Testing Hand,95852,CPT,,,99.0,,99.0,,,,True,2025-04-21 07:48:51.074485,2025-04-21 07:48:51.074486,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Manual Therapy 15 Min,97140,CPT,,,92.15,,92.15,,,,True,2025-04-21 07:48:51.074568,2025-04-21 07:48:51.074569,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Therapeutic Exercise 15 Min,97110,CPT,,,98.6,,98.6,,,,True,2025-04-21 07:48:51.074760,2025-04-21 07:48:51.074763,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Wheelchair Training 15 Min,97542,CPT,,,65.0,,65.0,,,,True,2025-04-21 07:48:51.074852,2025-04-21 07:48:51.074853,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Pt Educat/Training 30/Min,98960,CPT,,,115.58,,115.58,,,,True,2025-04-21 07:48:51.074933,2025-04-21 07:48:51.074934,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Ultrasound 15 Min,97035,CPT,,,93.94,,93.94,,,,True,2025-04-21 07:48:51.075017,2025-04-21 07:48:51.075018,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Elec Stim Attended 15 Min,97032,CPT,,,106.51,,106.51,,,,True,2025-04-21 07:48:51.075098,2025-04-21 07:48:51.075099,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Home Mgt Training 15 Min,97535,CPT,,,91.19,,91.19,,,,True,2025-04-21 07:48:51.075210,2025-04-21 07:48:51.075211,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Orthotic Fit/Train 15 Min,97760,CPT,,,108.92,,108.92,,,,True,2025-04-21 07:48:51.078824,2025-04-21 07:48:51.078829,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Othotic Fit/Train Subseq15Min,97763,CPT,,,89.66,,89.66,,,,True,2025-04-21 07:48:51.079141,2025-04-21 07:48:51.079143,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Ther Act Direct 15 Min,97530,CPT,,,104.42,,104.42,,,,True,2025-04-21 07:48:51.079312,2025-04-21 07:48:51.079314,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Assistive Tech Assess 15 Min,97755,CPT,,,144.02,,144.02,,,,True,2025-04-21 07:48:51.083091,2025-04-21 07:48:51.083097,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Whirlpool Hubbard Tank 15Min,97036,CPT,,,200.36,,200.36,,,,True,2025-04-21 07:48:51.091426,2025-04-21 07:48:51.091429,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Apply Splint Short Arm Static,29125,CPT,,,545.61,,545.61,,,,True,2025-04-21 07:48:51.101710,2025-04-21 07:48:51.101718,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Apply Splint Short Arm Dynam,29126,CPT,,,483.43,,483.43,,,,True,2025-04-21 07:48:51.106266,2025-04-21 07:48:51.106269,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Apply Splint Finger Static,29130,CPT,,,424.73,,424.73,,,,True,2025-04-21 07:48:51.112051,2025-04-21 07:48:51.112058,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Apply Splint Finger Dynam,29131,CPT,,,453.69,,453.69,,,,True,2025-04-21 07:48:51.118114,2025-04-21 07:48:51.118119,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Strapping Thorax,29200,CPT,,,56.0,,56.0,,,,True,2025-04-21 07:48:51.123700,2025-04-21 07:48:51.123703,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Strapping Shoulder,29240,CPT,,,513.65,,513.65,,,,True,2025-04-21 07:48:51.133518,2025-04-21 07:48:51.133520,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Strapping Elbow Or Wrist,29260,CPT,,,255.16,,255.16,,,,True,2025-04-21 07:48:51.139958,2025-04-21 07:48:51.139961,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Apply Splint Short Leg,29515,CPT,,,645.93,,645.93,,,,True,2025-04-21 07:48:51.145810,2025-04-21 07:48:51.145816,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Strapping Hip,29520,CPT,,,210.92,,210.92,,,,True,2025-04-21 07:48:51.153379,2025-04-21 07:48:51.153388,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Strapping Knee,29530,CPT,,,342.39,,342.39,,,,True,2025-04-21 07:48:51.161732,2025-04-21 07:48:51.161740,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Strapping Ankle And/Or Foot,29540,CPT,,,270.85,,270.85,,,,True,2025-04-21 07:48:51.171604,2025-04-21 07:48:51.171610,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Strapping Toes,29550,CPT,,,369.25,,369.25,,,,True,2025-04-21 07:48:51.176358,2025-04-21 07:48:51.176365,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Dry Needling 1 Or 2 Muscles,20560,CPT,,,148.1,,148.1,,,,True,2025-04-21 07:48:51.180128,2025-04-21 07:48:51.180157,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Dry Needling 3 Or More Muscles,20561,CPT,,,230.37,,230.37,,,,True,2025-04-21 07:48:51.191969,2025-04-21 07:48:51.191972,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Comm/Work Reinteg 15 Min,97537,CPT,,,69.38,,69.38,,,,True,2025-04-21 07:48:51.200519,2025-04-21 07:48:51.200522,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Neg Press Wound Ther<=50Sqcm,97605,CPT,,,766.94,,766.94,,,,True,2025-04-21 07:48:51.200680,2025-04-21 07:48:51.200681,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Npwt Disp Equip >50 Sq Cm,97608,CPT,,,1519.09,,1519.09,,,,True,2025-04-21 07:48:51.200873,2025-04-21 07:48:51.200875,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Npwt Disp Equip <=50 Sq Cm,97607,CPT,,,1218.65,,1218.65,,,,True,2025-04-21 07:48:51.201096,2025-04-21 07:48:51.201098,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Neg Press Wound Ther >50Sqcm,97606,CPT,,,802.34,,802.34,,,,True,2025-04-21 07:48:51.201289,2025-04-21 07:48:51.201291,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Biofeedback Training,90901,CPT,,,67.05,,67.05,,,,True,2025-04-21 07:48:51.210102,2025-04-21 07:48:51.210108,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Selectiv Debride 1St 20 Sq Cm,97597,CPT,,,666.86,,666.86,,,,True,2025-04-21 07:48:51.210574,2025-04-21 07:48:51.210577,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Selectiv Debride Ea Ad 20Sq Cm,97598,CPT,,,602.45,,602.45,,,,True,2025-04-21 07:48:51.210795,2025-04-21 07:48:51.210797,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Vestibular Rehab,95992,CPT,,,176.24,,176.24,,,,True,2025-04-21 07:48:51.211000,2025-04-21 07:48:51.211004,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Infrared,97026,CPT,,,98.43,,98.43,,,,True,2025-04-21 07:48:51.219680,2025-04-21 07:48:51.219683,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Work Hard/Cond Init 2 Hrs,97545,CPT,,,1176.0,,1176.0,,,,True,2025-04-21 07:48:51.237472,2025-04-21 07:48:51.237475,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Aquatic Therapy W/Exer 15 Min,97113,CPT,,,158.0,,158.0,,,,True,2025-04-21 07:48:51.251793,2025-04-21 07:48:51.251797,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Strapping Hand Or Finger,29280,CPT,,,327.47,,327.47,,,,True,2025-04-21 07:48:51.268808,2025-04-21 07:48:51.268811,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Apply Cylndr Cast Thigh-Ankle,29365,CPT,,,831.0,,831.0,,,,True,2025-04-21 07:48:51.276970,2025-04-21 07:48:51.276973,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Elec Stim Not Wound Unattended,97014,CPT,,,127.22,,127.22,,,,True,2025-04-21 07:48:51.285421,2025-04-21 07:48:51.285424,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Sensory Stimulation 15 Min,97533,CPT,,,99.21,,99.21,,,,True,2025-04-21 07:48:51.285578,2025-04-21 07:48:51.285579,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Neuromuscular Re-Ed 15 Min,97112,CPT,,,93.54,,93.54,,,,True,2025-04-21 07:48:51.285674,2025-04-21 07:48:51.285675,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Elec Stim Not Wound Unattended,97014,CPT,,,127.22,,127.22,,,,True,2025-04-21 07:48:51.285766,2025-04-21 07:48:51.285767,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Therapeutic Procedure-Group,97150,CPT,,,65.64,,65.64,,,,True,2025-04-21 07:48:51.286277,2025-04-21 07:48:51.286280,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Hot/Cold Packs Application,97010,CPT,,,85.51,,85.51,,,,True,2025-04-21 07:48:51.286677,2025-04-21 07:48:51.286678,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Ther Procedure-Group 15 Min,97150,CPT,,,65.64,,65.64,,,,True,2025-04-21 07:48:51.286788,2025-04-21 07:48:51.286789,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Ther Procedure-Group 45 Min,97150,CPT,,,65.64,,65.64,,,,True,2025-04-21 07:48:51.286878,2025-04-21 07:48:51.286879,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Ther Procedure-Group 60 Min,97150,CPT,,,65.64,,65.64,,,,True,2025-04-21 07:48:51.293728,2025-04-21 07:48:51.293732,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Manual Therapy 15 Min,97140,CPT,,,92.15,,92.15,,,,True,2025-04-21 07:48:51.310939,2025-04-21 07:48:51.310947,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Massage 15 Min,97124,CPT,,,88.71,,88.71,,,,True,2025-04-21 07:48:51.328298,2025-04-21 07:48:51.328304,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Paraffin Bath,97018,CPT,,,113.49,,113.49,,,,True,2025-04-21 07:48:51.344049,2025-04-21 07:48:51.344055,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Therapeutic Exercise 15 Min,97110,CPT,,,98.6,,98.6,,,,True,2025-04-21 07:48:51.361986,2025-04-21 07:48:51.361994,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Apply Splint Long Arm,29105,CPT,,,743.78,,743.78,,,,True,2025-04-21 07:48:51.377910,2025-04-21 07:48:51.377918,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Apply Splint Long Leg,29505,CPT,,,671.1,,671.1,,,,True,2025-04-21 07:48:51.395269,2025-04-21 07:48:51.395276,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Assistive Tech Assess 15 Min,97755,CPT,,,144.02,,144.02,,,,True,2025-04-21 07:48:51.415873,2025-04-21 07:48:51.415880,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Whirlpool,97022,CPT,,,208.27,,208.27,,,,True,2025-04-21 07:48:51.434198,2025-04-21 07:48:51.434207,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Iontophoresis 15 Min,97033,CPT,,,171.93,,171.93,,,,True,2025-04-21 07:48:51.460483,2025-04-21 07:48:51.460492,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Ultrasound 15 Min,97035,CPT,,,93.94,,93.94,,,,True,2025-04-21 07:48:51.476002,2025-04-21 07:48:51.476005,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Ther Int Cog Func 1St 15 Min,97129,CPT,,,73.85,,73.85,,,,True,2025-04-21 07:48:51.484688,2025-04-21 07:48:51.484691,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Ther Int Cog Func Eaaddl 15Mi,97130,CPT,,,68.31,,68.31,,,,True,2025-04-21 07:48:51.484876,2025-04-21 07:48:51.484877,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Wheelchair Training 15 Min,97542,CPT,,,65.0,,65.0,,,,True,2025-04-21 07:48:51.484979,2025-04-21 07:48:51.484980,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Comm/Work Reinteg 15 Min,97537,CPT,,,69.38,,69.38,,,,True,2025-04-21 07:48:51.485072,2025-04-21 07:48:51.485073,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Self Care/Home Mgt 15 Min,97535,CPT,,,91.19,,91.19,,,,True,2025-04-21 07:48:51.485187,2025-04-21 07:48:51.485188,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Ther Act Direct 15 Min,97530,CPT,,,104.42,,104.42,,,,True,2025-04-21 07:48:51.485280,2025-04-21 07:48:51.485281,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Elec Stim Attended 15 Min,97032,CPT,,,106.51,,106.51,,,,True,2025-04-21 07:48:51.485395,2025-04-21 07:48:51.485396,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Whirlpool Hubbard Tank 15Min,97036,CPT,,,200.36,,200.36,,,,True,2025-04-21 07:48:51.485495,2025-04-21 07:48:51.485496,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Apply Splint Short Arm Static,29125,CPT,,,545.61,,545.61,,,,True,2025-04-21 07:48:51.485606,2025-04-21 07:48:51.485608,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Apply Splint Short Arm Dynam,29126,CPT,,,483.43,,483.43,,,,True,2025-04-21 07:48:51.485774,2025-04-21 07:48:51.485776,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Apply Splint Finger Static,29130,CPT,,,424.73,,424.73,,,,True,2025-04-21 07:48:51.486507,2025-04-21 07:48:51.486509,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Apply Splint Finger Dynam,29131,CPT,,,453.69,,453.69,,,,True,2025-04-21 07:48:51.486693,2025-04-21 07:48:51.486694,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Strapping Shoulder,29240,CPT,,,513.65,,513.65,,,,True,2025-04-21 07:48:51.486789,2025-04-21 07:48:51.486790,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Strapping Elbow Or Wrist,29260,CPT,,,255.16,,255.16,,,,True,2025-04-21 07:48:51.487410,2025-04-21 07:48:51.487412,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Rom Testing Extremity/Trunk,95851,CPT,,,138.24,,138.24,,,,True,2025-04-21 07:48:51.487520,2025-04-21 07:48:51.487521,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Rom Testing Hand,95852,CPT,,,99.0,,99.0,,,,True,2025-04-21 07:48:51.487607,2025-04-21 07:48:51.487608,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Infrared,97026,CPT,,,98.43,,98.43,,,,True,2025-04-21 07:48:51.487755,2025-04-21 07:48:51.487756,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Diathermy,97024,CPT,,,37.17,,37.17,,,,True,2025-04-21 07:48:51.488020,2025-04-21 07:48:51.488022,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
Kindred Hospital Tarrant County - Arlington,Standard Cognitive Test Per Hr,96125,CPT,,,316.93,,316.93,,,,True,2025-04-21 07:48:51.488126,2025-04-21 07:48:51.488127,hospital_name,True,2025-04-21 07:49:13.176241,2025-04-21 07:49:13.176241
